Year,ISO2,ISO3,Country,ODB.2013.C.DPL,ODB.2013.C.RTI,ODB.2013.C.INIT,ODB.2013.C.CSOC,ODB.2013.C.SUPIN,ODB.2013.C.CITY,ODB.2013.C.TRAIN,FH 2014,UN.OSI 2014,WB.NetUsers 2013,WEF.GCI.9.02 2013,WEF.GITR.8.01 2014,ODB.2013.I.GOV,ODB.2013.I.ACCOUNT,ODB.2013.I.ENV,ODB.2013.I.INC,ODB.2013.I.ECON,ODB.2013.I.ENTR,ODB.2013.D1,ODB.2013.D2,ODB.2013.D4,ODB.2013.D5,ODB.2013.D6,ODB.2013.D7,ODB.2013.D8,ODB.2013.D9,ODB.2013.D10,ODB.2013.D11,ODB.2013.D12,ODB.2013.D13,ODB.2013.D14,ODB.2013.D15,ODB.2013.D16
2014,AR,ARG,Argentina,8,3,5,4,3,4,3,80,0.55,59.90,4.11,2.52,0,3,2,0,1,2,80,5,80,15,15,15,15,95,10,15,80,10,10,95,15
2014,AU,AUS,Australia,7,7,8,8,6,8,6,97,0.93,83.00,5.82,4.72,1,2,2,2,3,3,95,10,80,80,15,85,15,90,90,65,65,75,55,95,80
2014,AT,AUT,Austria,8,5,6,8,6,9,5,96,0.75,80.62,5.76,3.94,3,4,5,4,3,6,15,15,65,65,5,5,95,95,80,5,40,15,15,95,15
2014,BH,BHR,Bahrain,3,0,4,0,0,0,2,18,0.94,90.00,5.49,5.21,0,0,0,0,0,0,15,5,55,10,5,10,5,15,10,25,40,5,5,5,15
2014,BD,BGD,Bangladesh,0,8,0,0,0,0,2,53,0.35,6.50,4.20,4.07,0,0,0,0,0,1,15,10,15,15,15,10,15,15,15,15,15,15,10,15,15
2014,BE,BEL,Belgium,9,8,8,8,4,8,6,97,0.68,82.17,5.59,4.13,2,4,0,3,5,4,5,15,80,80,5,80,15,10,10,15,15,65,40,15,15
2014,BJ,BEN,Benin,5,2,0,0,0,0,0,80,0.11,4.90,3.98,3.15,0,0,0,0,0,0,5,5,65,15,5,15,5,0,60,80,5,5,5,0,5
2014,BW,BWA,Botswana,1,1,2,2,3,0,0,74,0.31,15.00,4.34,4.14,0,0,0,0,0,0,5,5,15,15,5,5,10,0,15,15,10,10,10,15,10
2014,BR,BRA,Brazil,4,8,6,5,4,6,6,81,0.60,51.60,5.00,3.68,1,1,0,0,0,1,80,60,80,95,75,60,15,75,80,80,90,5,45,65,5
2014,BF,BFA,Burkina Faso,4,3,5,5,1,0,2,53,0.30,4.40,3.69,3.96,0,0,0,0,0,0,5,0,10,15,0,5,10,5,10,75,15,10,10,15,5
2014,CM,CMR,Cameroon,1,0,0,2,0,0,0,24,0.20,6.40,4.40,3.78,0,1,0,0,0,0,0,0,10,15,0,0,10,5,10,10,10,10,0,10,5
2014,CA,CAN,Canada,7,7,7,8,7,8,7,98,0.91,85.80,5.45,4.24,3,3,2,3,2,4,80,95,95,75,5,15,65,95,95,80,15,95,75,95,95
2014,CL,CHL,Chile,7,8,7,4,3,1,5,95,0.82,66.50,5.10,4.43,0,1,0,0,0,2,60,5,80,95,95,15,65,95,80,90,95,95,15,80,80
2014,CN,CHN,China,2,4,3,6,2,5,7,18,0.61,45.80,4.69,4.76,2,1,1,0,1,1,5,5,80,15,5,10,15,15,15,65,10,50,65,15,15
2014,CO,COL,Colombia,7,7,6,2,1,2,4,62,0.79,51.70,4.36,4.21,1,2,1,0,1,2,15,15,65,15,75,15,15,15,15,60,65,45,15,15,15
2014,CR,CRI,Costa Rica,6,4,6,4,1,3,4,90,0.61,45.96,5.19,3.94,0,0,0,0,0,2,10,15,80,15,15,15,15,0,80,80,75,15,55,15,15
2014,CZ,CZE,Czech Republic,7,7,5,8,3,4,5,94,0.37,74.11,4.95,3.33,4,2,3,0,2,4,60,80,65,95,95,60,60,60,80,65,45,75,10,15,15
2014,DK,DNK,Denmark,8,7,8,8,8,7,9,98,0.66,94.63,5.72,4.33,6,4,3,3,6,7,90,15,65,60,5,65,15,55,65,65,65,45,45,65,65
2014,EC,ECU,Ecuador,6,6,2,3,1,2,2,60,0.48,40.35,4.49,4.18,0,1,1,0,0,0,10,5,80,15,15,15,15,95,75,80,80,65,65,15,15
2014,EG,EGY,Egypt,2,2,3,4,0,0,3,31,0.59,49.56,4.20,2.57,0,0,0,0,0,0,5,0,55,15,15,10,10,10,15,15,15,0,15,75,15
2014,EE,EST,Estonia,8,8,6,7,5,4,7,95,0.77,80.00,5.38,4.95,3,4,2,2,4,5,50,65,65,75,5,50,65,15,60,65,15,65,65,15,75
2014,ET,ETH,Ethiopia,1,4,0,1,0,0,1,18,0.46,1.90,3.83,3.92,0,0,0,0,0,0,5,10,60,5,5,5,10,0,10,15,10,10,5,10,15
2014,FI,FIN,Finland,9,9,7,7,5,5,8,100,0.77,91.51,6.03,5.12,1,5,3,3,6,6,95,50,95,75,5,15,15,90,65,60,10,75,45,80,10
2014,FR,FRA,France,8,7,9,8,6,7,7,95,1.00,81.92,5.46,4.18,4,5,2,3,5,7,15,15,100,95,5,15,95,95,95,95,90,75,95,95,95
2014,DE,DEU,Germany,10,7,6,8,3,8,6,96,0.67,83.96,5.77,4.51,3,5,3,0,2,5,95,5,90,100,15,15,85,100,70,90,75,65,65,80,15
2014,GH,GHA,Ghana,6,2,3,3,0,0,3,84,0.31,12.30,4.43,4.33,0,0,0,0,0,0,5,5,75,60,50,5,15,0,40,45,65,45,5,65,65
2014,GR,GRC,Greece,8,5,5,5,4,5,6,83,0.61,59.87,4.48,2.78,0,5,0,0,0,1,60,5,55,80,95,15,15,55,15,55,55,55,55,15,15
2014,HT,HTI,Haiti,0,1,0,0,0,0,0,43,0.11,10.60,3.83,2.68,0,0,0,0,0,0,0,0,10,15,5,5,10,0,0,0,15,5,0,0,15
2014,HU,HUN,Hungary,6,6,3,3,0,1,4,88,0.56,72.64,4.69,3.43,2,4,1,0,2,2,10,5,65,45,5,15,15,80,60,65,65,60,50,15,10
2014,IS,ISL,Iceland,9,9,5,4,1,4,4,100,0.61,96.55,6.19,4.14,1,4,0,1,5,5,95,5,50,15,5,15,15,95,50,60,50,30,45,15,15
2014,IN,IND,India,5,8,5,5,2,3,4,77,0.54,15.10,5.05,4.28,0,1,0,0,0,0,15,10,65,65,15,15,15,15,65,65,65,50,65,15,15
2014,ID,IDN,Indonesia,4,6,5,4,2,2,2,64,0.36,15.82,5.08,4.42,1,1,0,2,0,0,10,15,80,15,5,10,15,60,95,90,90,15,75,15,15
2014,IE,IRL,Ireland,8,7,4,6,3,4,6,97,0.68,78.25,5.62,4.35,1,1,0,0,0,3,15,10,65,15,45,60,15,75,65,15,65,65,50,15,15
2014,IL,ISR,Israel,7,5,5,5,2,5,4,81,0.87,70.80,6.07,4.39,3,5,0,1,0,5,10,10,80,75,60,60,15,80,75,15,60,10,60,80,60
2014,IT,ITA,Italy,8,4,6,6,1,5,3,90,0.75,58.46,4.19,2.98,3,2,1,0,2,4,45,10,60,80,60,15,65,80,60,80,60,60,40,65,15
2014,JM,JAM,Jamaica,2,6,3,5,3,0,3,74,0.31,37.80,4.76,3.73,0,0,0,1,0,2,10,50,65,15,5,10,15,10,15,75,60,10,10,15,60
