Year,ISO2,ISO3,Country,ODB.2015.C.POLI,ODB.2015.C.MANAG,ODB.2013.C.DPL,ODB.2013.C.RTI,ODB.2013.C.INIT,ODB.2013.C.CSOC,ODB.2013.C.SUPIN,ODB.2013.C.CITY,ODB.2013.C.TRAIN,FH 2015,UN.OSI 2014,WB.NetUsers 2014,WEF.GCI.9.02 2015,WEF.GITR.8.01 2015,ODB.2013.I.GOV,ODB.2013.I.ACCOUNT,ODB.2013.I.ENV,ODB.2013.I.INC,ODB.2013.I.ECON,ODB.2013.I.ENTR,ODB.2013.D1,ODB.2013.D2,ODB.2013.D4,ODB.2013.D5,ODB.2013.D6,ODB.2013.D7,ODB.2013.D8,ODB.2013.D9,ODB.2013.D10,ODB.2013.D11,ODB.2013.D12,ODB.2013.D13,ODB.2013.D14,ODB.2013.D15,ODB.2013.D16
2015,AE,ARE,UAE,1,0,5,0,4,1,0,2,5,21,0.88,90.40,6.04,6.07,2,0,0,0,0,0,0,5,60,55,5,15,15,15,80,45,60,45,60,5,15
2015,AR,ARG,Argentina,3,1,7,4,5,4,3,5,3,80,0.55,64.70,4.03,2.48,0,1,1,0,1,1,55,5,75,65,5,0,15,15,15,15,5,15,0,80,15
2015,AU,AUS,Australia,6,7,5,7,8,7,5,9,6,97,0.93,84.56,5.61,4.40,2,2,2,0,5,3,65,75,80,95,5,95,15,80,95,60,95,90,65,95,95
2015,AT,AUT,Austria,6,7,8,4,7,8,6,9,5,96,0.75,81.00,5.68,4.19,3,4,4,3,2,6,95,15,50,15,5,15,80,80,95,15,15,80,80,90,15
2015,BE,BEL,Belgium,7,3,9,5,8,8,7,8,6,97,0.68,85.00,5.64,4.11,0,2,1,1,2,6,30,65,95,80,5,65,15,5,80,5,0,60,80,80,60
2015,BJ,BEN,Benin,0,1,6,1,0,1,0,0,2,81,0.11,5.30,3.98,3.15,0,0,0,0,0,0,5,5,60,15,5,60,15,0,80,15,5,0,0,5,5
2015,BF,BFA,Burkina Faso,1,0,6,3,5,3,3,0,3,45,0.30,9.40,3.69,3.75,0,0,0,0,0,0,5,5,15,15,5,15,15,5,15,55,15,15,5,15,5
2015,BD,BGD,Bangladesh,0,0,1,6,0,2,0,0,2,50,0.35,9.60,4.12,4.00,0,0,0,0,0,0,15,5,15,15,5,15,15,15,15,5,15,15,15,15,15
2015,BH,BHR,Bahrain,1,0,2,0,4,1,1,0,3,15,0.94,91.00,5.34,5.17,0,0,0,0,0,0,15,15,95,15,0,15,15,15,45,75,5,15,5,15,15
2015,BR,BRA,Brazil,5,5,3,7,5,6,5,6,6,81,0.60,57.60,4.77,3.30,2,3,1,1,2,3,80,60,95,100,95,5,95,15,95,95,95,50,95,95,75
2015,BW,BWA,Botswana,0,1,1,0,2,1,1,0,2,73,0.31,18.50,4.32,3.97,0,0,0,0,0,0,5,5,15,15,5,5,15,0,15,15,15,15,15,15,15
2015,CA,CAN,Canada,8,7,7,6,7,8,7,9,7,98,0.91,87.12,5.43,4.27,3,3,3,4,2,5,100,95,95,95,5,45,80,90,95,80,55,95,95,80,95
2015,CH,CHE,Switzerland,7,6,8,6,6,7,3,3,7,96,0.50,87.00,6.05,4.42,1,2,2,0,2,5,65,5,80,15,5,65,15,15,80,95,80,80,80,80,95
2015,CL,CHL,Chile,4,3,6,8,7,5,4,1,5,95,0.82,72.35,5.20,4.22,1,2,0,0,0,1,45,5,65,95,5,5,85,95,80,45,60,15,45,65,60
2015,CN,CHN,China,0,1,1,4,3,8,4,7,5,17,0.61,49.30,4.66,4.69,1,0,1,0,0,1,5,15,80,15,5,15,15,15,15,15,15,60,15,0,15
2015,CM,CMR,Cameroon,0,0,1,0,1,2,0,0,3,25,0.20,11.00,4.41,3.85,0,1,0,0,0,0,0,5,45,15,5,5,15,0,40,15,15,15,0,15,15
2015,CO,COL,Colombia,8,7,8,6,6,3,2,3,5,63,0.79,52.57,4.36,4.38,2,2,1,1,0,2,65,15,80,80,5,15,15,15,80,80,15,80,15,80,80
2015,CR,CRI,Costa Rica,0,0,8,4,3,5,3,3,3,90,0.61,49.41,5.03,3.82,0,0,0,0,0,1,30,15,50,70,5,15,15,0,80,65,50,15,15,95,80
2015,CZ,CZE,Czech Republic,5,5,7,6,5,7,2,5,5,95,0.37,79.71,4.95,3.20,3,3,3,0,4,5,60,45,75,90,5,55,15,15,15,15,15,75,15,95,70
